id,status,now_cost,selected_by_percent,form,event_points,cost_change_event,transfers_in_event,transfers_out_event,value_form,value_season,ep_next,ep_this,total_points,bonus,bps,transfers_in,transfers_out,dreamteam_count,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,influence,creativity,threat,ict_index
597,a,4.5,0.0,0.0,0,0,384,230,0.0,0.0,2.0,2.0,0,0,0,384,230,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,a,4.5,0.7,0.0,0,0,1929,6216,0.0,0.0,0.9,1.9,0,0,0,1929,6216,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,a,6.5,3.6,1.0,1,0,8111,22358,0.2,0.2,1.3,2.3,1,0,1,8111,22358,0,0.21,0.21,0.42,1.39,0.0,30.5,13.0,4.2
29,a,5.5,0.8,0.0,0,0,1431,8349,0.0,0.0,1.0,2.0,0,0,0,1431,8349,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,a,5.0,0.1,0.0,0,0,206,514,0.0,0.0,0.6,1.6,0,0,0,206,514,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,a,5.5,0.1,0.0,0,0,294,1160,0.0,0.0,1.0,2.0,0,0,0,294,1160,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,a,4.5,3.2,2.0,2,0,12685,10465,0.4,0.4,0.9,1.9,2,0,7,12685,10465,0,0.0,0.01,0.01,1.41,9.0,12.4,2.0,2.3
33,a,4.5,1.0,0.0,0,0,2813,4308,0.0,0.0,0.0,1.0,0,0,0,2813,4308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,u,6.5,0.0,0.0,0,0,0,1325,0.0,0.0,0.0,0.0,0,0,0,0,1325,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,a,4.5,0.6,0.0,0,0,1638,4959,0.0,0.0,0.9,1.9,0,0,0,1638,4959,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,a,4.5,2.3,2.0,2,0,5005,5995,0.4,0.4,0.9,1.9,2,0,14,5005,5995,0,0.0,0.13,0.13,1.39,14.4,19.2,0.0,3.4
37,u,5.0,0.0,0.0,0,0,0,79,0.0,0.0,0.0,0.0,0,0,0,0,79,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,a,6.0,0.5,6.0,6,0,11559,2877,1.0,1.0,1.0,2.0,6,1,30,11559,2877,0,0.38,0.0,0.38,1.17,34.4,2.1,23.0,6.0
39,a,4.0,0.5,0.0,0,0,3021,1055,0.0,0.0,0.0,1.0,0,0,0,3021,1055,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,a,4.0,0.6,0.0,0,0,2355,2334,0.0,0.0,0.0,1.0,0,0,0,2355,2334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,a,5.5,0.1,0.0,0,0,116,771,0.0,0.0,1.0,2.0,0,0,0,116,771,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,i,5.0,0.0,0.0,0,0,9,36,0.0,0.0,0.0,0.0,0,0,0,9,36,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,u,4.0,0.0,0.0,0,0,0,341,0.0,0.0,0.0,0.0,0,0,0,0,341,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,a,4.5,12.9,2.0,2,0,15136,29112,0.4,0.4,0.9,1.9,2,0,10,15136,29112,0,0.07,0.01,0.08,2.46,13.4,14.1,7.0,3.5
45,a,5.0,3.6,1.0,1,0,6423,19761,0.2,0.2,1.4,2.4,1,0,5,6423,19761,0,0.0,0.04,0.04,1.06,8.8,10.5,0.0,1.9
46,u,4.0,0.0,0.0,0,0,0,9,0.0,0.0,0.0,0.0,0,0,0,0,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,a,5.0,12.9,3.0,3,0,15841,33279,0.6,0.6,2.1,3.1,3,0,11,15841,33279,0,0.0,0.0,0.0,2.46,25.8,0.0,0.0,2.6
